code,value
arizona cardinals,https://www.thesportsdb.com/images/media/team/badge/xvuwtw1420646838.png/preview
atlanta falcons,https://www.thesportsdb.com/images/media/team/badge/rrpvpr1420658174.png/preview
baltimore ravens,https://www.thesportsdb.com/images/media/team/badge/einz3p1546172463.png/preview
buffalo bills,https://www.thesportsdb.com/images/media/team/badge/6pb37b1515849026.png/preview
carolina panthers,https://www.thesportsdb.com/images/media/team/badge/xxyvvy1420940478.png/preview
chicago bears,https://www.thesportsdb.com/images/media/team/badge/uwtwtv1420941123.png/preview
cincinnati bengals,https://www.thesportsdb.com/images/media/team/badge/qqtwwv1420941670.png/preview
cleveland browns,https://www.thesportsdb.com/images/media/team/badge/squvxy1420942389.png/preview
dallas cowboys,https://www.thesportsdb.com/images/media/team/badge/wrxssu1450018209.png/preview
denver broncos,https://www.thesportsdb.com/images/media/team/badge/upsspx1421635647.png/preview
detroit lions,https://www.thesportsdb.com/images/media/team/badge/lgsgkr1546168257.png/preview
green bay packers,https://www.thesportsdb.com/images/media/team/badge/rqpwtr1421434717.png/preview
houston texans,https://www.thesportsdb.com/images/media/team/badge/wqyryy1421436627.png/preview
indianapolis colts,https://www.thesportsdb.com/images/media/team/badge/wqqvpx1421434058.png/preview
jacksonville jaguars,https://www.thesportsdb.com/images/media/team/badge/0mrsd41546427902.png/preview
kansas city chiefs,https://www.thesportsdb.com/images/media/team/badge/936t161515847222.png/preview
las vegas raiders,https://www.thesportsdb.com/images/media/team/badge/xqusqy1421724291.png/preview
los angeles chargers,https://www.thesportsdb.com/images/media/team/badge/wbhu3a1548320628.png/preview
los angeles rams,https://www.thesportsdb.com/images/media/team/badge/45ps1l1515847886.png/preview
miami dolphins,https://www.thesportsdb.com/images/media/team/badge/trtusv1421435081.png/preview
minnesota vikings,https://www.thesportsdb.com/images/media/team/badge/qstqqr1421609163.png/preview
new england patriots,https://www.thesportsdb.com/images/media/team/badge/xtwxyt1421431860.png/preview
new orleans saints,https://www.thesportsdb.com/images/media/team/badge/nd46c71537821337.png/preview
new york giants,https://www.thesportsdb.com/images/media/team/badge/vxppup1423669459.png/preview
new york jets,https://www.thesportsdb.com/images/media/team/badge/rurvuu1421435228.png/preview
philadelphia eagles,https://www.thesportsdb.com/images/media/team/badge/pnpybf1515852421.png/preview
pittsburgh steelers,https://www.thesportsdb.com/images/media/team/badge/2975411515853129.png/preview
san francisco 49ers,https://www.thesportsdb.com/images/media/team/badge/bqbtg61539537328.png/preview
seattle seahawks,https://www.thesportsdb.com/images/media/team/badge/wwuqyr1421434817.png/preview
tampa bay buccaneers,https://www.thesportsdb.com/images/media/team/badge/2dfpdl1537820969.png/preview
tennessee titans,https://www.thesportsdb.com/images/media/team/badge/m48yia1515847376.png/preview
washington redskins,https://www.thesportsdb.com/images/media/team/badge/qsxwrv1425081054.png/preview
