timestamp,Boston,Fairbanks,Yakutsk
20210318T0000,40.345,11.120939,11.300156
20210318T0100,39.751,11.246939,10.814154
20210318T0200,39.463,11.4989395,9.338156
20210318T0300,39.391003,12.05694,8.744156
20210318T0400,39.535,2.8769379,9.428156
20210318T0500,39.697002,2.7329369,10.868155
20210318T0600,39.769,3.2009392,11.570154
20210318T0700,39.715,4.33494,9.122154
20210318T0800,37.141003,5.12694,2.0301552
20210318T0900,40.183002,6.386938,-2.6678429
20210318T1000,42.487,7.808939,-2.8838425
20210318T1100,44.467003,9.266939,-1.1378441
20210318T1200,45.907,10.70694,0.4281578
20210318T1300,47.401,11.912939,0.73415756
20210318T1400,48.355003,12.86694,0.4281578
20210318T1500,48.049004,13.83894,-0.54384613
20210318T1600,47.347,14.666939,-1.7498436
20210318T1700,46.645,15.11694,-3.3338432
20210318T1800,45.853,15.638939,-7.0958443
20210318T1900,44.863,15.692938,-13.737843
20210318T2000,44.287003,15.296938,-17.607841
20210318T2100,43.495003,12.632938,-13.3958435
20210318T2200,42.631,12.200939,-16.077843
20210318T2300,40.921,12.05694,-17.949844
20210319T0000,34.495003,11.786938,-18.813843
20210319T0100,31.399002,11.174938,-19.245842
20210319T0200,27.763,10.202938,-19.31784
20210319T0300,25.333002,9.284941,-18.813843
20210319T0400,22.813002,7.3049393,-17.98584
20210319T0500,22.237001,5.558939,-17.031845
20210319T0600,23.029001,4.33494,-16.79784
20210319T0700,22.723001,3.452938,-14.295841
20210319T0800,25.711002,2.2649364,-7.113842
20210319T0900,26.755001,3.794939,4.2261543
20210319T1000,28.015001,7.75494,12.740156
20210319T1100,29.815,8.94294,18.644154
20210319T1200,31.723001,10.202938,22.460155
20210319T1300,33.901,12.146938,24.314156
20210319T1400,35.593002,13.946938,25.412155
20210319T1500,36.709,14.792938,26.042154
20210319T1600,37.087,14.252939,26.114155
20210319T1700,36.781002,13.100939,25.862156
20210319T1800,35.827,12.488939,25.268154
20210319T1900,31.921001,12.05694,23.864155
20210319T2000,30.769001,11.102938,22.874153
20210319T2100,29.977001,10.292938,14.774155
20210319T2200,29.527,4.3709393,17.096155
20210319T2300,29.329002,0.8609352,19.382154
20210320T0000,29.311,-2.2530632,21.344154
20210320T0100,29.329002,-3.8910637,22.100155
20210320T0200,29.221,-6.267063,22.388153
20210320T0300,28.879002,-9.021065,22.280155
20210320T0400,28.483002,-18.993061,22.226154
20210320T0500,28.069002,-21.49506,22.064156
20210320T0600,27.673,-23.331062,21.992155
20210320T0700,27.529001,-24.789062,22.568153
20210320T0800,31.417002,-25.941063,24.962154
20210320T0900,36.637,-21.657059,26.294155
20210320T1000,41.335,-11.883064,27.410154
20210320T1100,44.989002,-1.8390656,27.752155
20210320T1200,47.833,4.676939,27.842155
20210320T1300,50.191,10.058939,27.626156
20210320T1400,51.847,13.6049385,27.788155
20210320T1500,52.621002,16.10694,26.870155
20210320T1600,52.819,17.438938,25.952154
20210320T1700,52.117,17.888939,24.998154
20210320T1800,50.227,18.26694,23.810154
20210320T1900,46.771,17.618938,21.776154
20210320T2000,45.763,9.62694,17.852154
20210320T2100,44.809002,0.1409359,15.008154
20210320T2200,43.135002,-6.7350616,11.084156
20210320T2300,41.443,-11.559063,7.466154
20210321T0000,39.787003,-14.439064,4.532154
20210321T0100,38.419003,-15.825062,3.2721558
20210321T0200,37.591,-16.887062,3.4341545
20210321T0300,36.979,-17.805061,4.082155
20210321T0400,36.457,-20.847061,9.050156
20210321T0500,35.989002,-21.315063,7.6461563
20210321T0600,35.701,-21.819061,3.9741554
20210321T0700,35.557003,-22.323063,8.438154
20210321T0800,37.357002,-22.575062,12.866156
20210321T0900,42.595,-19.371063,17.906155
20210321T1000,47.023,-10.065063,21.416155
20210321T1100,50.947,-3.09906,23.918156
20210321T1200,53.611,1.940937,25.268154
20210321T1300,55.465,6.008938,23.792156
20210321T1400,56.977,9.014938,17.042154
20210321T1500,57.967003,11.408939,8.042154
20210321T1600,58.273003,13.316938,4.244156
20210321T1700,57.805,14.324938,3.3801537
20210321T1800,56.347,14.882938,-0.11184311
20210321T1900,53.143,14.81094,-7.31184
20210321T2000,50.839,13.946938,-11.793842
20210321T2100,48.427002,12.974937,-13.773842
20210321T2200,46.177002,7.232939,-5.439842
20210321T2300,44.467003,5.252939,-8.247841
20210322T0000,42.811,2.678936,-17.571842
20210322T0100,41.263,-0.2910614,-20.937843
20210322T0200,39.805,-3.2610626,-21.783844
20210322T0300,38.725002,-6.087063,-28.71384
